Language,Hardware_Model,SDK_Version,Manufacture,Screen_Size,Time_Zone,Country_Code,Num_of_CPU_Cores,pLN1,p.2,pLN3,pt4,pi5,pe6,pLN7,p58,pLN9,pSH10,pr11,po12,pa13,pn14,pl15,pDO16,aLN1,a.2,aLN3,at4,ai5,ae6,aLN7,a58,aLN9,aSH10,ar11,ao12,aa13,an14,al15,aDO16,xycLN1,xyc.2,xycyLN3,xyct4,xyci5,xyce6,xycLN7,xyc58,xycLN9,xycSH10,xycr11,xyco12,xyca13,xycn14,xycl15,xycDO16,xypLN1,xyp.2,xypLN3,xypt4,xypi5,xype6,xypLN7,xyp58,xypLN9,xypSH10,xypr11,xypo12,xypa13,xypn14,xypl15,xypDO16,duLN1,du.2,duLN3,dut4,dui5,due6,duLN7,du58,duLN9,duSH10,dur11,duo12,dua13,dun14,dul15,duDO16,udLN1,ud.2,udLN3,udt4,udi5,ude6,udLN7,ud58,udLN9,udSH10,udr11,udo12,uda13,udn14,udl15,ddLN1,dd.2,ddLN3,ddt4,ddi5,dde6,ddLN7,dd58,ddLN9,ddSH10,ddr11,ddo12,dda13,ddn14,ddl15,uuLN1,uu.2,uuLN3,uut4,uui5,uue6,uuLN7,uu58,uuLN9,uuSH10,uur11,uuo12,uua13,uun14,uul15,du2LN1,du2.2,du2LN3,du2t4,du2i5,du2e6,du2LN7,du258,du2LN9,du2SH10,du2r11,du2o12,du2a13,du2n14,du2n15,avgdu,avgud,avgdd,avguu,avdu2,avgp,avga,UUID
English,Samsung GT-I9505,21.0,samsung,5.0055812203251,Asia/Kolkata,GB,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.070588238537312,0.10588236153125999,0.088235296308994,0.052941180765629,0.070588238537312,0.10588236153125999,0.035294119268656,0.088235296308994,0.088235296308994,0.052941180765629,0.070588238537312,0.070588238537312,0.070588238537312,0.070588238537312,0.052941180765629,0.070588238537312,1567.0003190810141,1438.6007090224862,1621.9337224436763,1234.6157296908216,1395.5765833518417,1165.6504621883869,1629.0721285443442,1238.4353031143776,1613.7710494366913,1438.3549631436601,1179.9025383479773,1440.930602076311,1271.6418520951565,1621.3137285897253,1600.6629876398092,1815.342667377154,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,119.0,100.0,151.0,110.0,133.0,92.0,143.0,124.0,103.0,124.0,129.0,135.0,112.0,122.0,194.0,211.0,1043.0,532.0,1271.0,804.0,726.0,2956.0,668.0,602.0,1982.0,371.0,840.0,889.0,985.0,370.0,1705.0,1162.0,632.0,1422.0,914.0,859.0,3048.0,811.0,726.0,2085.0,495.0,969.0,1024.0,1097.0,492.0,1899.0,1143.0,683.0,1381.0,937.0,818.0,3099.0,792.0,705.0,2106.0,500.0,975.0,1001.0,1107.0,564.0,1916.0,1262.0,783.0,1532.0,1047.0,951.0,3191.0,935.0,829.0,2209.0,624.0,1104.0,1136.0,1219.0,686.0,2110.0,131.375,1049.6,1175.6666666666667,1181.8,1307.8666666666666,1.0,0.07279412145726431,NSKPJ1502989685690
English,Samsung GT-I9505,21.0,samsung,5.0055812203251,Asia/Kolkata,GB,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.088235296308994,0.052941180765629,0.070588238537312,0.10588236153125999,0.035294119268656,0.088235296308994,0.088235296308994,0.052941180765629,0.070588238537312,0.070588238537312,0.070588238537312,0.070588238537312,0.052941180765629,0.070588238537312,0.10588236153125999,0.088235296308994,1621.9337224436763,1234.6157296908216,1395.5765833518417,1165.6504621883869,1629.0721285443442,1238.4353031143776,1613.7710494366913,1438.3549631436601,1179.9025383479773,1440.930602076311,1271.6418520951565,1621.3137285897253,1600.6629876398092,1815.342667377154,1535.5259685202332,1457.4011115681228,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,151.0,110.0,133.0,92.0,143.0,124.0,103.0,124.0,129.0,135.0,112.0,122.0,194.0,211.0,121.0,146.0,1271.0,804.0,726.0,2956.0,668.0,602.0,1982.0,371.0,840.0,889.0,985.0,370.0,1705.0,40694.0,2140.0,1422.0,914.0,859.0,3048.0,811.0,726.0,2085.0,495.0,969.0,1024.0,1097.0,492.0,1899.0,40905.0,2261.0,1381.0,937.0,818.0,3099.0,792.0,705.0,2106.0,500.0,975.0,1001.0,1107.0,564.0,1916.0,40815.0,2286.0,1532.0,1047.0,951.0,3191.0,935.0,829.0,2209.0,624.0,1104.0,1136.0,1219.0,686.0,2110.0,41026.0,2407.0,134.375,3800.2,3933.8,3933.4666666666667,4067.0666666666666,1.0,0.07389706256799444,NSKPJ1502989685690
English,Samsung GT-I9505,21.0,samsung,5.0055812203251,Asia/Kolkata,GB,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.035294119268656,0.088235296308994,0.088235296308994,0.052941180765629,0.070588238537312,0.070588238537312,0.070588238537312,0.070588238537312,0.052941180765629,0.070588238537312,0.10588236153125999,0.088235296308994,0.10588236153125999,0.070588238537312,0.088235296308994,0.10588236153125999,1629.0721285443442,1238.4353031143776,1613.7710494366913,1438.3549631436601,1179.9025383479773,1440.930602076311,1271.6418520951565,1621.3137285897253,1600.6629876398092,1815.342667377154,1535.5259685202332,1457.4011115681228,1626.0012300118349,1217.5163243258794,1393.149668915727,1176.0824801007793,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,143.0,124.0,103.0,124.0,129.0,135.0,112.0,122.0,194.0,211.0,121.0,146.0,112.0,132.0,92.0,77.0,668.0,602.0,1982.0,371.0,840.0,889.0,985.0,370.0,1705.0,40694.0,2140.0,2462.0,1145.0,965.0,758.0,811.0,726.0,2085.0,495.0,969.0,1024.0,1097.0,492.0,1899.0,40905.0,2261.0,2608.0,1257.0,1097.0,850.0,792.0,705.0,2106.0,500.0,975.0,1001.0,1107.0,564.0,1916.0,40815.0,2286.0,2574.0,1277.0,1057.0,835.0,935.0,829.0,2209.0,624.0,1104.0,1136.0,1219.0,686.0,2110.0,41026.0,2407.0,2720.0,1389.0,1189.0,927.0,129.8125,3771.733333333333,3905.0666666666666,3900.6666666666665,4034.0,1.0,0.07720588636584638,NSKPJ1502989685690
English,Samsung GT-I9505,21.0,samsung,5.0055812203251,Asia/Kolkata,GB,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.088235296308994,0.052941180765629,0.070588238537312,0.070588238537312,0.070588238537312,0.070588238537312,0.052941180765629,0.070588238537312,0.10588236153125999,0.088235296308994,0.10588236153125999,0.070588238537312,0.088235296308994,0.10588236153125999,0.070588238537312,0.035294119268656,1613.7710494366913,1438.3549631436601,1179.9025383479773,1440.930602076311,1271.6418520951565,1621.3137285897253,1600.6629876398092,1815.342667377154,1535.5259685202332,1457.4011115681228,1626.0012300118349,1217.5163243258794,1393.149668915727,1176.0824801007793,1581.2178850493692,1230.3210962996611,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,103.0,124.0,129.0,135.0,112.0,122.0,194.0,211.0,121.0,146.0,112.0,132.0,92.0,77.0,124.0,67.0,1982.0,371.0,840.0,889.0,985.0,370.0,1705.0,40694.0,2140.0,2462.0,1145.0,965.0,758.0,4028.0,785.0,2085.0,495.0,969.0,1024.0,1097.0,492.0,1899.0,40905.0,2261.0,2608.0,1257.0,1097.0,850.0,4105.0,909.0,2106.0,500.0,975.0,1001.0,1107.0,564.0,1916.0,40815.0,2286.0,2574.0,1277.0,1057.0,835.0,4152.0,852.0,2209.0,624.0,1104.0,1136.0,1219.0,686.0,2110.0,41026.0,2407.0,2720.0,1389.0,1189.0,927.0,4229.0,976.0,125.0625,4007.9333333333334,4136.866666666667,4134.466666666666,4263.4,1.0,0.07610294525511624,NSKPJ1502989685690
English,Samsung GT-I9505,21.0,samsung,5.0055812203251,Asia/Kolkata,GB,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10588236153125999,0.088235296308994,0.10588236153125999,0.070588238537312,0.088235296308994,0.10588236153125999,0.070588238537312,0.035294119268656,0.070588238537312,0.070588238537312,0.070588238537312,0.070588238537312,0.088235296308994,0.070588238537312,0.070588238537312,0.070588238537312,1535.5259685202332,1457.4011115681228,1626.0012300118349,1217.5163243258794,1393.149668915727,1176.0824801007793,1581.2178850493692,1230.3210962996611,1615.6391923941435,1422.5909461261167,1214.3100921922703,1433.125953990088,1283.6000155811778,1632.367911961026,1599.8040505011857,1837.9521212479938,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,121.0,146.0,112.0,132.0,92.0,77.0,124.0,67.0,110.0,92.0,156.0,112.0,124.0,102.0,86.0,90.0,2140.0,2462.0,1145.0,965.0,758.0,4028.0,785.0,2541.0,726.0,831.0,1139.0,1297.0,879.0,457.0,6247.0,2261.0,2608.0,1257.0,1097.0,850.0,4105.0,909.0,2608.0,836.0,923.0,1295.0,1409.0,1003.0,559.0,6333.0,2286.0,2574.0,1277.0,1057.0,835.0,4152.0,852.0,2651.0,818.0,987.0,1251.0,1421.0,981.0,543.0,6337.0,2407.0,2720.0,1389.0,1189.0,927.0,4229.0,976.0,2718.0,928.0,1079.0,1407.0,1533.0,1105.0,645.0,6423.0,108.9375,1760.0,1870.2,1868.1333333333334,1978.3333333333333,1.0,0.07830882747657662,NSKPJ1502989685690
English,Samsung GT-I9505,21.0,samsung,5.0055812203251,Asia/Kolkata,GB,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10588236153125999,0.070588238537312,0.088235296308994,0.10588236153125999,0.070588238537312,0.035294119268656,0.070588238537312,0.070588238537312,0.070588238537312,0.070588238537312,0.088235296308994,0.070588238537312,0.070588238537312,0.070588238537312,0.088235296308994,0.10588236153125999,1626.0012300118349,1217.5163243258794,1393.149668915727,1176.0824801007793,1581.2178850493692,1230.3210962996611,1615.6391923941435,1422.5909461261167,1214.3100921922703,1433.125953990088,1283.6000155811778,1632.367911961026,1599.8040505011857,1837.9521212479938,1559.2626462530295,1421.3936822710307,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,112.0,132.0,92.0,77.0,124.0,67.0,110.0,92.0,156.0,112.0,124.0,102.0,86.0,90.0,103.0,97.0,1145.0,965.0,758.0,4028.0,785.0,2541.0,726.0,831.0,1139.0,1297.0,879.0,457.0,6247.0,211479.0,1332.0,1257.0,1097.0,850.0,4105.0,909.0,2608.0,836.0,923.0,1295.0,1409.0,1003.0,559.0,6333.0,211569.0,1435.0,1277.0,1057.0,835.0,4152.0,852.0,2651.0,818.0,987.0,1251.0,1421.0,981.0,543.0,6337.0,211582.0,1429.0,1389.0,1189.0,927.0,4229.0,976.0,2718.0,928.0,1079.0,1407.0,1533.0,1105.0,645.0,6423.0,211672.0,1532.0,104.75,15640.6,15745.866666666667,15744.866666666667,15850.133333333333,1.0,0.07830882747657664,NSKPJ1502989685690
English,Samsung GT-I9505,21.0,samsung,5.0055812203251,Asia/Kolkata,GB,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.070588238537312,0.035294119268656,0.070588238537312,0.070588238537312,0.070588238537312,0.070588238537312,0.088235296308994,0.070588238537312,0.070588238537312,0.070588238537312,0.088235296308994,0.10588236153125999,0.070588238537312,0.088235296308994,0.070588238537312,0.088235296308994,1581.2178850493692,1230.3210962996611,1615.6391923941435,1422.5909461261167,1214.3100921922703,1433.125953990088,1283.6000155811778,1632.367911961026,1599.8040505011857,1837.9521212479938,1559.2626462530295,1421.3936822710307,1605.7428187602147,1217.7725567609084,1361.2677914356161,1137.0070360380362,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,124.0,67.0,110.0,92.0,156.0,112.0,124.0,102.0,86.0,90.0,103.0,97.0,113.0,97.0,108.0,70.0,785.0,2541.0,726.0,831.0,1139.0,1297.0,879.0,457.0,6247.0,211479.0,1332.0,300.0,522.0,521.0,601.0,909.0,2608.0,836.0,923.0,1295.0,1409.0,1003.0,559.0,6333.0,211569.0,1435.0,397.0,635.0,618.0,709.0,852.0,2651.0,818.0,987.0,1251.0,1421.0,981.0,543.0,6337.0,211582.0,1429.0,413.0,619.0,629.0,671.0,976.0,2718.0,928.0,1079.0,1407.0,1533.0,1105.0,645.0,6423.0,211672.0,1532.0,510.0,732.0,726.0,779.0,103.1875,15310.466666666667,15415.866666666667,15412.266666666666,15517.666666666666,1.0,0.07500000321306326,NSKPJ1502989685690
English,Samsung GT-I9505,21.0,samsung,5.0055812203251,Asia/Kolkata,GB,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.070588238537312,0.070588238537312,0.070588238537312,0.070588238537312,0.088235296308994,0.070588238537312,0.070588238537312,0.070588238537312,0.088235296308994,0.10588236153125999,0.070588238537312,0.088235296308994,0.070588238537312,0.088235296308994,0.088235296308994,0.070588238537312,1615.6391923941435,1422.5909461261167,1214.3100921922703,1433.125953990088,1283.6000155811778,1632.367911961026,1599.8040505011857,1837.9521212479938,1559.2626462530295,1421.3936822710307,1605.7428187602147,1217.7725567609084,1361.2677914356161,1137.0070360380362,1548.4266207993196,1207.8911374788706,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,110.0,92.0,156.0,112.0,124.0,102.0,86.0,90.0,103.0,97.0,113.0,97.0,108.0,70.0,81.0,59.0,726.0,831.0,1139.0,1297.0,879.0,457.0,6247.0,211479.0,1332.0,300.0,522.0,521.0,601.0,983.0,649.0,836.0,923.0,1295.0,1409.0,1003.0,559.0,6333.0,211569.0,1435.0,397.0,635.0,618.0,709.0,1053.0,730.0,818.0,987.0,1251.0,1421.0,981.0,543.0,6337.0,211582.0,1429.0,413.0,619.0,629.0,671.0,1064.0,708.0,928.0,1079.0,1407.0,1533.0,1105.0,645.0,6423.0,211672.0,1532.0,510.0,732.0,726.0,779.0,1134.0,789.0,100.0,15197.533333333333,15300.266666666666,15296.866666666667,15399.6,1.0,0.07830882677808437,NSKPJ1502989685690
English,Samsung GT-I9505,21.0,samsung,5.0055812203251,Asia/Kolkata,GB,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.088235296308994,0.10588236153125999,0.070588238537312,0.088235296308994,0.070588238537312,0.088235296308994,0.088235296308994,0.070588238537312,0.10588236153125999,0.088235296308994,0.10588236153125999,0.070588238537312,0.070588238537312,0.070588238537312,0.088235296308994,0.070588238537312,1559.2626462530295,1421.3936822710307,1605.7428187602147,1217.7725567609084,1361.2677914356161,1137.0070360380362,1548.4266207993196,1207.8911374788706,1569.635949290485,1391.2472821177405,1188.4325811757267,1439.7031639817328,1269.9704720976783,1596.3539707721468,1574.2001143437894,1815.828185704804,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,103.0,97.0,113.0,97.0,108.0,70.0,81.0,59.0,103.0,81.0,118.0,102.0,71.0,123.0,81.0,111.0,1332.0,300.0,522.0,521.0,601.0,983.0,649.0,621.0,621.0,522.0,698.0,2571.0,1022.0,603.0,1319.0,1435.0,397.0,635.0,618.0,709.0,1053.0,730.0,680.0,724.0,603.0,816.0,2673.0,1093.0,726.0,1400.0,1429.0,413.0,619.0,629.0,671.0,1064.0,708.0,724.0,702.0,640.0,800.0,2642.0,1145.0,684.0,1430.0,1532.0,510.0,732.0,726.0,779.0,1134.0,789.0,783.0,805.0,721.0,918.0,2744.0,1216.0,807.0,1511.0,94.875,859.0,952.8,953.3333333333334,1047.1333333333334,1.0,0.08382353326305798,NSKPJ1502989685690
English,Samsung GT-I9505,21.0,samsung,5.0055812203251,Asia/Kolkata,GB,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.070588238537312,0.088235296308994,0.070588238537312,0.088235296308994,0.088235296308994,0.070588238537312,0.10588236153125999,0.088235296308994,0.10588236153125999,0.070588238537312,0.070588238537312,0.070588238537312,0.088235296308994,0.070588238537312,0.0078431377187371,0.0078431377187371,1605.7428187602147,1217.7725567609084,1361.2677914356161,1137.0070360380362,1548.4266207993196,1207.8911374788706,1569.635949290485,1391.2472821177405,1188.4325811757267,1439.7031639817328,1269.9704720976783,1596.3539707721468,1574.2001143437894,1815.828185704804,1621.3728750660657,1481.4941781863336,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,113.0,97.0,108.0,70.0,81.0,59.0,103.0,81.0,118.0,102.0,71.0,123.0,81.0,111.0,58.0,66.0,522.0,521.0,601.0,983.0,649.0,621.0,621.0,522.0,698.0,2571.0,1022.0,603.0,1319.0,-226298818.0,661.0,635.0,618.0,709.0,1053.0,730.0,680.0,724.0,603.0,816.0,2673.0,1093.0,726.0,1400.0,-226298707.0,719.0,619.0,629.0,671.0,1064.0,708.0,724.0,702.0,640.0,800.0,2642.0,1145.0,684.0,1430.0,-226298760.0,727.0,732.0,726.0,779.0,1134.0,789.0,783.0,805.0,721.0,918.0,2744.0,1216.0,807.0,1511.0,-226298649.0,785.0,90.125,-15085793.6,-15085701.866666667,-15085705.0,-15085613.266666668,1.0,0.07267157186288427,NSKPJ1502989685690
